,sample,habitat,X,batch,weight..g.,sex,total.length..mm.,dC,dN,tr_posit,Zooplankton.diet..from.MixSIA.,DFA.scores..littoral....pelagic.,age.gr,age,group,condition,last.year.gowth.g.lnL2.lnL1,X14.00,i.15.0,ai.15.0,X15.00,i.16.0,ai.16.0,X16.00,X16.01,X16.1n.9,X16.1n.7,X16.1n.5,i.17.0,ai.17.0,X17.00,X17.01,X18.00,X18.1n,X18.1n.9,X18.1n.7,X18.1n.5,X18.2n.6,X19.00,X18.3n.6,X18.3n.3..ALA.,X18.4n.3..SDA.,X20.00,X20.1n.9,X20.2n.6,X20.4n.6..ARA.,X20.3n.3,X20.4n.3,X20.5n.3..EPA.,X22.00,X22.4n.6,X22.5n.6,X22.5n.3..DPA.,X22.6n.3..DHA.,X24.1n.9,sumPUFAS,w3,w6,w3.w6,sumMUFAS,pelagic.diet.over..benthic.pelagic.,piscivory,lines.LP,lines.LL,Lines.P,Lines.pisc,cluster2,hab_age,hab_age.num,cluster3,X.4,X.5,wrong.clasif,X.2,L1,L2,L3,L4,L5,L6,X.1,L.t.,hab_age.num2,cla,cla.sd,cop,cop.sd,kcluster_hab.num,finalcluster.n,final.cluster,bg,fish,litt,pel,fish.sd,lit.sd,pel.sd,epa.ara,dha.ara,bact,SAFA,percfish,perclitt,percpel
57,P01R,pelagic,NA,b13,14.6,m,111,-27.65,11,3.324653,0.607,0.35629934,1,1,P,1.0675394,0.30242421,1.3315184,0.4786554,0.282420883,0.4498777,0.35263212,0.13740124,22.09162,0.3425552,0.6147908,2.706504,0.4640397,0.4211614,0.15550986,0.8554333,0.2708394,5.503733,0.041821893,5.30369,2.776439,0.03253289,2.147228,0.09173567,0.15705469,3.5577527,2.1717919,0.1117788,0.07080407,0.179649204,6.870353,0.13333673,0.4950028,15.049215,0.08500286,0.4555872,1.4333126,1.823042,20.09666,0.4575126,54.56999,43.32681,11.243185,3.853606,12.624018,0.666,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P16,P01R,82.03,NA,NA,NA,NA,NA,NA,NA,1,0.428,0.119,0.273,0.102,cyan,cyan,PP,NA,0.174,0.125,0.701,0.087,0.072,0.156732256,2.190457317,2.925127719,3.224827573,30.52069973,17.4,12.5,70.1
58,P02,pelagic,NA,b10,14,m,111,-27.29,11.16,3.369564,0.606,1.17559441,1,1,P,1.0236679,0.1664242,1.1054568,0.41699828,0.231805252,0.39185,0.40294189,0.12225569,19.91811,0.334153,0.5922725,2.700704,0.4225853,0.4322529,0.14110894,0.8224131,0.2340143,6.415635,0.050300495,5.342293,3.078607,0.04034128,2.075605,0.11978141,0.14552744,3.1387161,1.742488,0.13222897,0.10173786,0.205670167,7.214181,0.14855862,0.4757604,13.613569,0.10887526,0.4753126,1.7156452,2.155698,22.62928,0.6052729,55.73601,43.90407,11.831942,3.710639,12.897009,0.646,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P11,P02,93.98,NA,NA,NA,NA,NA,NA,NA,1,0.372,0.187,0.28,0.156,cyan,cyan,PP,NA,0.205,0.143,0.652,0.148,0.115,0.243526179,1.887056757,3.136777411,3.081407462,29.01435054,20.5,14.3,65.2
59,P03,pelagic,NA,b9,15,m,111,-27.43,10.89,3.290577,0.605,3.08149016,1,1,P,1.0967871,0.27041637,1.0556025,0.3983845,0.212145101,0.4026583,0.32260204,0.11664035,19.88889,0.3058099,0.5616135,2.438167,0.4301129,0.4083051,0.14540242,0.8521043,0.2271666,6.654369,0.049883457,5.164281,3.053888,0.04271091,2.116947,0.11131068,0.15888844,3.4148036,1.8902092,0.13276625,0.08018075,0.183112044,6.978612,0.1227032,0.4882115,13.905077,0.07886729,0.4533084,1.7829873,1.837713,23.03727,0.4962917,56.36984,44.69599,11.673855,3.828726,12.353815,0.655,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P12,P03,84.7,NA,NA,NA,NA,NA,NA,NA,1,0.42,0.19,0.27,0.156,cyan,cyan,PP,NA,0.178,0.132,0.69,0.135,0.107,0.245837345,1.992527597,3.301124923,2.969552791,29.17656832,17.8,13.2,69
60,P04,pelagic,NA,b9,15.74,m,111,-27.22,11.19,3.378969,0.605,2.33634824,1,1,P,1.1508952,0.25331292,1.1485096,0.38495983,0.199507695,0.406262,0.29883502,0.10558049,20.66291,0.2991316,0.5763615,2.397944,0.4234755,0.3806512,0.14913335,0.8138264,0.2255953,6.19062,0.04881782,4.834357,2.679639,0.046505,1.958897,0.09792545,0.13000102,3.045766,1.7408034,0.13463771,0.08440544,0.158267604,7.23512,0.13752196,0.506923,14.452967,0.0884199,0.4422816,1.6832656,2.051337,23.16596,0.6128681,56.70912,45.10128,11.607834,3.885418,11.616232,0.672,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P14,P04,86.16,NA,NA,NA,NA,NA,NA,NA,1,0.376,0.187,0.273,0.156,cyan,cyan,PP,NA,0.21,0.142,0.649,0.154,0.117,0.243526179,1.997612617,3.201876403,2.836681435,29.54311106,21,14.2,64.9
61,P06,pelagic,NA,b9,14.56,f,112,-27.56,10.97,3.314517,0.606,1.4795858,1,1,P,1.036352,0.17790164,1.1222062,0.41063801,0.232096479,0.4171856,0.39551085,0.10854589,19.22288,0.3464034,0.6050063,2.507487,0.449289,0.4085741,0.12608267,0.8380116,0.2539307,6.534976,0.053303418,5.664454,3.125889,0.04202438,2.20529,0.12366383,0.15849852,3.1322786,1.7472026,0.14869787,0.08983018,0.1629294,7.437064,0.11817,0.4252434,13.29453,0.10414071,0.3986157,1.7740566,1.957411,22.91314,0.944744,55.72443,43.58798,12.136454,3.591492,13.137618,0.662,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,p29,P06,93.75,NA,NA,NA,NA,NA,NA,NA,1,0.415,0.192,0.282,0.16,cyan,cyan,PP,NA,0.176,0.127,0.697,0.136,0.106,0.24992799,1.787604625,3.08093893,3.060309029,28.51176181,17.6,12.7,69.7
62,P07,pelagic,NA,b8,14.48,f,111,-27.14,10.84,3.277094,0.605,0.49177251,1,1,P,1.0587651,0.1664242,1.1574693,0.40214116,0.235259583,0.3957159,0.30079805,0.11528556,19.43965,0.3168862,0.5338884,2.378132,0.392127,0.3974405,0.13921252,0.8538886,0.2170458,6.663358,0.042297758,5.563696,3.269843,0.03912725,2.308122,0.11854346,0.15680342,3.3183218,1.8398161,0.17690864,0.08919299,0.169205154,7.382544,0.12842292,0.4771155,14.129273,0.09277374,0.4687785,1.8044707,2.188267,21.7149,0.5832852,56.08604,43.79611,12.289924,3.563579,12.842237,0.663,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P21,P07,93.98,NA,NA,NA,NA,NA,NA,NA,1,0.421,0.194,0.244,0.15,cyan,cyan,PP,NA,0.188,0.147,0.665,0.145,0.12,0.245226426,1.913875894,2.941384433,2.958285333,28.89830764,18.8,14.7,66.5
63,P08,pelagic,NA,b8,14.7,f,109,-27.26,10.66,3.222078,0.605,0.07032458,1,1,P,1.1351097,0.27900178,1.099573,0.4330997,0.23606343,0.4008175,0.33999587,0.1173885,20.228,0.3074665,0.5021952,2.433401,0.4410732,0.4088274,0.1508561,0.8320482,0.2501522,6.46873,0.045955024,4.845257,2.948189,0.03949019,1.977566,0.11266222,0.11749044,3.1230761,1.6884289,0.15338047,0.08703661,0.164555216,7.444111,0.14966158,0.4908879,14.573593,0.09502173,0.4988952,1.7137492,2.045366,22.42549,0.6104488,56.41287,44.4965,11.916367,3.734066,11.900216,0.616,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P25,P08,82.46,NA,NA,NA,NA,NA,NA,NA,1,0.451,0.195,0.234,0.146,cyan,cyan,PP,NA,0.176,0.138,0.685,0.139,0.116,0.243600082,1.95773451,3.012514187,3.03175892,29.39023312,17.6,13.8,68.5
64,P09,pelagic,NA,b8,13.63,m,110,-27.5,10.75,3.249329,0.606,2.47466881,1,1,P,1.0240421,0.37944566,1.3564486,0.57626689,0.332345859,0.4469634,0.32639603,0.15425493,19.09311,0.3375211,0.5926947,3.164239,0.4851388,0.5195633,0.20261758,0.8933239,0.2553409,5.953648,0.065176799,5.585018,3.132398,0.0549769,2.328542,0.11668545,0.17795957,3.7420794,2.160393,0.15596853,0.09551215,0.275208818,7.108388,0.14934607,0.5004323,13.753713,0.10366459,0.4906499,1.8495783,1.733858,21.15389,0.5766818,55.42404,43.19372,12.230327,3.531689,13.768017,0.683,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P26,P09,75.27,NA,NA,NA,NA,NA,NA,NA,1,0.45,0.193,0.252,0.151,cyan,cyan,PP,NA,0.169,0.129,0.702,0.132,0.109,0.245051015,1.93485682,2.975905367,3.568417339,28.11981247,16.9,12.9,70.2
65,P10R,pelagic,NA,b13,13,f,105,-27.24,11.04,3.333942,0.606,1.04647031,1,1,P,1.1229889,0.2019427,1.2043438,0.4348843,0.246933737,0.4258173,0.34395523,0.13425755,21.61958,0.3252478,0.5784135,2.778336,0.4759404,0.4155952,0.15216885,0.8119699,0.2645267,5.55752,0.037540556,5.079764,2.820257,0.03543274,2.137337,0.11270203,0.1477435,3.3159167,1.9391316,0.11426383,0.07633924,0.193772919,7.060259,0.13719398,0.4594022,14.488732,0.09552748,0.4558693,1.669106,1.872297,21.45089,0.5310243,55.32766,43.66357,11.664088,3.743419,12.471798,0.638,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P10R,P10R,85.8,NA,NA,NA,NA,NA,NA,NA,1,0.396,0.191,0.268,0.157,cyan,cyan,PP,NA,0.196,0.14,0.664,0.147,0.114,0.247244818,2.052153044,3.038258228,3.078284097,29.94172434,19.6,14,66.4
66,P11,pelagic,NA,b8,12.19,f,100,-24.53,9.12,2.769491,0.592,1.3550255,1,1,P,1.219,0.32288261,0.8483363,0.35514708,0.147631591,0.484911,1.12364091,0.25353493,19.35589,0.3161327,0.4487665,2.95839,0.4470439,0.8747444,0.4714977,1.1485543,0.3763778,7.325451,0.460656825,3.896245,4.293426,0.114338,2.062931,0.25234482,0.15986387,1.7023577,0.701669,0.19077812,0.10876659,0.081567301,7.305732,0.32268187,0.3833092,15.610959,0.13915079,0.6298545,1.2100988,4.892003,17.93491,0.6103046,52.99794,41.54789,11.450048,3.628622,13.420144,0.641,non-piscivorous,NA,NA,1,NA,1,pelagic 1,1,NA,NA,NA,P19,P11,72.41,NA,NA,NA,NA,NA,NA,NA,1,0.222,0.17,0.05,0.054,aquamarine4,aquamarine4,PB,NA,0.125,0.603,0.272,0.127,0.193,0.178370401,2.1368097,2.454909378,5.112006731,29.74541633,12.5,60.3,27.2
67,P12,pelagic,NA,b9,11.45,m,102,-27.32,11.13,3.36287,0.604,1.82934023,1,1,P,1.0789591,0.35680495,1.2563588,0.47854762,0.272595496,0.4149041,0.3719062,0.14066694,19.96315,0.3109122,0.6570039,2.796186,0.4238473,0.5342443,0.18642078,0.9234656,0.3175649,6.302605,0.069822977,5.936028,3.055885,0.04959764,2.349101,0.09957015,0.17399957,3.5817681,2.1349414,0.16065403,0.11153264,0.177520965,6.846108,0.14711358,0.4590588,14.419777,0.10873636,0.4555984,1.9827523,1.597442,20.04712,0.6855021,54.3723,42.38722,11.98508,3.536665,13.728381,0.655,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P24,P12,71.39,NA,NA,NA,NA,NA,NA,NA,1,0.38,0.187,0.278,0.156,cyan,cyan,PP,NA,0.201,0.141,0.658,0.149,0.116,0.243526179,2.106273667,2.928250621,3.422321186,29.22944404,20.1,14.1,65.8
68,P13,pelagic,NA,b7,20.17,m,124,-28.22,10.55,3.190342,0.609,1.26664918,1,1,P,1.0578908,0.40684061,1.384104,0.42432706,0.24822516,0.4438573,0.44075296,0.14804813,19.61855,0.3700545,0.6415646,3.143081,0.5066869,0.4279365,0.14781224,0.8001991,0.2952003,6.14568,0.057642906,5.692297,3.229312,0.05016484,2.530494,0.12743979,0.16322973,3.4829958,1.9169267,0.17934778,0.13687139,0.118065113,8.523822,0.15871538,0.5200808,14.477438,0.10331247,0.5992539,1.6934735,2.236981,17.81904,0.9970119,54.24052,40.61218,13.628338,2.979981,14.122876,0.676,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P23,P13,82.55,NA,NA,NA,NA,NA,NA,NA,1,0.486,0.194,0.286,0.166,cyan,cyan,PP,NA,0.132,0.096,0.772,0.108,0.084,0.255327241,1.698467894,2.09049884,3.20859824,28.80249044,13.2,9.6,77.2
69,P14,pelagic,NA,b7,12.11,f,102,-26.95,10.76,3.2536,0.602,2.67144561,1,1,P,1.1411523,0.25832425,1.4802109,0.622953,0.356345076,0.4627733,0.09512003,0.16044505,19.66613,0.3337201,0.6763008,3.404611,0.4437028,0.5598336,0.21944656,0.9092435,0.2811291,6.14642,0.05836705,5.777553,3.355209,0.05278258,2.315484,0.12506994,0.19109833,3.7002897,2.2784236,0.17997228,0.113227,0.224912056,7.123859,0.12368356,0.4526068,14.513743,0.11454481,0.5022432,1.5550174,1.985673,18.91288,0.5249837,53.87991,41.9673,11.912613,3.522929,14.496602,0.635,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P08,P14,78.78,NA,NA,NA,NA,NA,NA,NA,1,0.422,0.188,0.225,0.137,cyan,cyan,PP,NA,0.192,0.16,0.647,0.148,0.129,0.232622011,2.037342822,2.654864449,3.511230056,29.08436473,19.2,16,64.7
70,P15,pelagic,NA,b7,15.1,m,112,-27.08,10.76,3.252119,0.604,3.34737437,1,1,P,1.0747882,0.28901538,1.1755294,0.45305641,0.246497792,0.407834,0.0209424,0.10962877,20.09169,0.2924203,0.54267,2.540657,0.3685258,0.4846062,0.15040331,0.8456801,0.2255845,6.527761,0.047639632,5.418989,3.085193,0.03738557,2.095202,0.09116438,0.14198016,3.3813057,1.9399386,0.1388706,0.08744417,0.122175704,7.446127,0.18603224,0.460958,15.094326,0.1051146,0.5193274,1.6968944,1.877142,20.80485,0.7384545,55.76626,43.74455,12.021706,3.638797,12.646509,0.62,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P27,P15,83.89,NA,NA,NA,NA,NA,NA,NA,1,0.429,0.194,0.235,0.144,cyan,cyan,PP,NA,0.184,0.152,0.664,0.143,0.123,0.24160298,2.027137866,2.794049846,2.809813362,29.38364408,18.4,15.2,66.4
71,P16,pelagic,NA,b7,11.77,m,99,-27.78,10.71,3.238039,0.607,-0.25259491,1,1,P,1.2130281,0.3520457,1.4293267,0.46717618,0.277787416,0.4402463,0.33169817,0.13560773,19.90933,0.3332607,0.6090509,2.906097,0.4422708,0.4561388,0.16780455,0.8523806,0.2638202,6.015632,0.053791982,5.676122,3.109469,0.04414303,2.455254,0.10492946,0.18826101,3.7136782,2.2184517,0.14550758,0.09334394,0.164734002,6.665695,0.15128344,0.5244576,13.420575,0.10667453,0.5304074,1.7899648,1.994693,21.10742,0.7035108,54.92488,43.13056,11.794316,3.656894,13.53137,0.671,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P09,P16,69.62,NA,NA,NA,NA,NA,NA,NA,1,0.457,0.192,0.27,0.158,cyan,cyan,PP,NA,0.157,0.116,0.727,0.124,0.1,0.248652368,2.0133797,3.166574528,3.233769206,29.00402717,15.7,11.6,72.7
72,P17,pelagic,NA,b7,14.82,f,112,-27.83,11.18,3.376648,0.608,-0.47741425,1,1,P,1.0548583,0.19370361,1.0022993,0.30000945,0.149149335,0.4359725,0.37338712,0.11071801,20.24988,0.3267818,0.4966639,1.952737,0.410895,0.3268124,0.1293027,0.8174749,0.2274175,6.776695,0.045747244,4.360213,2.811897,0.03669769,2.077956,0.12657143,0.14799303,2.7845814,1.4652373,0.14388752,0.08755579,0.140152384,7.61914,0.1234375,0.451467,14.171437,0.090765,0.4602219,1.8952046,2.408407,23.77545,0.6897861,57.52068,45.18001,12.340668,3.661067,10.756607,0.603,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P20,P17,92.28,NA,NA,NA,NA,NA,NA,NA,1,0.389,0.192,0.319,0.171,cyan,cyan,PP,NA,0.178,0.114,0.708,0.14,0.096,0.257108926,1.859978554,3.120489977,2.769397845,29.64354565,17.8,11.4,70.8
73,P18,pelagic,NA,b9,15.89,f,112,-27.58,11.06,3.340187,0.607,-0.83081133,1,1,P,1.1310188,0.21028153,1.295017,0.46934563,0.260995496,0.4323803,0.4395662,0.14289578,19.71977,0.3362435,0.5900443,2.837749,0.4393022,0.4510463,0.18159808,0.9198849,0.3129875,6.558013,0.05969831,5.627328,3.083751,0.04823181,2.269131,0.13528722,0.17284348,3.4912203,1.9577619,0.13999497,0.10918239,0.111417613,7.038362,0.15709644,0.4931528,13.941902,0.11760206,0.5027093,1.7500058,2.10273,20.60998,0.6937655,54.59831,42.75384,11.84447,3.609604,13.444519,0.65,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P01R,P18,90.76,NA,NA,NA,NA,NA,NA,NA,1,0.399,0.191,0.29,0.163,cyan,cyan,PP,NA,0.183,0.127,0.689,0.14,0.108,0.251097591,1.980844691,2.928235291,3.432999906,29.31794945,18.3,12.7,68.9
74,P19,pelagic,NA,b6,14.06,m,107,-27.33,10.82,3.27007,0.605,-0.7535612,1,1,P,1.1477148,0.26977667,1.2073093,0.44515971,0.247120252,0.4239293,0.37095338,0.13440403,20.08292,0.3168752,0.5588188,2.475533,0.4302562,0.4368623,0.15717973,0.8702094,0.2534182,6.507516,0.048943437,5.151903,3.059449,0.04057169,2.18305,0.10197187,0.14638732,3.4832652,1.9735249,0.13922146,0.10422553,0.202819872,6.874088,0.13959897,0.4434341,14.292344,0.08583701,0.3957545,1.8866393,1.94579,21.73221,0.6505041,55.6989,44.01017,11.688739,3.765177,12.439994,0.409,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,1,NA,NA,P02,P19,81.7,NA,NA,NA,NA,NA,NA,NA,1,0.428,0.192,0.254,0.15,cyan,cyan,PP,NA,0.179,0.138,0.682,0.139,0.113,0.243647286,2.07916221,3.16146811,3.187789972,29.41891434,17.9,13.8,68.2
75,P20,pelagic,NA,b6,13.88,m,110,-27.4,10.65,3.220656,0.605,-0.66886386,1,1,P,1.0428249,0.27519843,1.1202728,0.46911527,0.256278679,0.4097159,0.31902744,0.11055502,19.94588,0.3405399,0.5288859,2.468205,0.4652108,0.4383049,0.12230284,0.8410183,0.2461146,6.325322,0.037539794,4.82767,2.97691,0.03610249,2.100986,0.10590464,0.14206273,3.3987128,1.9495889,0.14704128,0.07330038,0.190031893,7.679342,0.14064746,0.4798154,14.877686,0.10034454,0.494648,1.682212,2.167459,21.3355,0.6497494,56.63869,44.34941,12.289282,3.608787,12.000479,0.684,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P03,P20,83.54,NA,NA,NA,NA,NA,NA,NA,1,0.454,0.194,0.246,0.15,cyan,cyan,PP,NA,0.168,0.132,0.7,0.135,0.111,0.245226426,1.937364686,2.778297932,3.072222989,28.99549946,16.8,13.2,70
76,P21,pelagic,NA,b6,13.2,f,103,-27.67,11.13,3.362042,0.607,-1.05631434,1,1,P,1.207987,0.33283084,1.2849193,0.46158694,0.245990675,0.4081906,0.37533677,0.12743695,20.11213,0.3183185,0.6185674,2.926802,0.3751822,0.4775097,0.1918139,0.916455,0.3149862,6.402496,0.052197058,5.918326,2.985761,0.04213228,2.224054,0.1068444,0.16917068,3.5481146,2.0660388,0.14884404,0.11107097,0.140203675,6.585541,0.14736473,0.4907405,13.880098,0.10492912,0.482396,1.816592,2.109704,20.59661,0.7155413,54.25663,42.83868,11.417958,3.751868,13.663344,0.631,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P04,P21,73.84,NA,NA,NA,NA,NA,NA,NA,1,0.385,0.19,0.308,0.168,cyan,cyan,PP,NA,0.183,0.124,0.693,0.14,0.1,0.253621766,2.107662529,3.127550189,3.311164935,29.48480846,18.3,12.4,69.3
77,P22,pelagic,NA,b6,17.42,m,113,-27.54,10.77,3.255526,0.606,0.56059614,1,1,P,1.2072934,0.27537059,1.2837678,0.45359677,0.249366061,0.4186017,0.34932217,0.13086848,20.68091,0.3148782,0.5381729,2.645355,0.4486397,0.4065792,0.13840297,0.8490792,0.2562155,6.062883,0.042891396,5.181956,2.862024,0.03638216,2.094645,0.08878558,0.15438567,3.627787,2.1644205,0.12780926,0.07066215,0.192062182,7.347572,0.14181684,0.56563,15.17696,0.09882486,0.4948375,1.4216886,2.228485,20.09334,0.5603913,55.70363,43.99844,11.705191,3.758883,12.397177,0.678,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P07,P22,85.8,NA,NA,NA,NA,NA,NA,NA,1,0.439,0.189,0.266,0.157,cyan,cyan,PP,NA,0.168,0.127,0.705,0.13,0.105,0.245703073,2.065574859,2.734691133,3.084602131,29.6106614,16.8,12.7,70.5
78,P23,pelagic,NA,b5,15.99,f,108,-27.56,11.23,3.390646,0.607,2.22839931,1,1,P,1.2693378,0.21669793,1.2837678,0.45359677,0.249366061,0.4186017,0.34932217,0.13086848,20.68091,0.3148782,0.5381729,2.645355,0.4486397,0.4065792,0.13840297,0.8490792,0.2562155,6.062883,0.042891396,5.181956,2.862024,0.03638216,2.094645,0.08878558,0.15438567,3.627787,2.1644205,0.12780926,0.07066215,0.192062182,7.347572,0.14181684,0.56563,15.17696,0.09882486,0.4948375,1.4216886,2.228485,20.09334,0.5603913,55.70363,43.99844,11.705191,3.758883,12.397177,0.718,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P06,P23,86.96,NA,NA,NA,NA,NA,NA,NA,1,0.356,0.126,0.306,0.115,cyan,cyan,PP,NA,0.207,0.131,0.662,0.103,0.08,0.170590152,2.065574859,2.734691133,3.084602131,29.6106614,20.7,13.1,66.2
79,P24,pelagic,NA,b5,12.79,m,107,-27.03,10.96,3.311582,0.604,3.36297581,1,1,P,1.044045,0.23017911,1.3628013,0.35482225,0.204508995,0.4016314,0.33289196,0.10737778,20.33642,0.2767117,0.5677255,2.63158,0.401049,0.3831763,0.15435277,0.8311078,0.2592613,6.24455,0.044270867,5.105536,2.89349,0.04375626,2.371627,0.11716006,0.16512115,3.4437053,2.0730176,0.14722904,0.08937578,0.195838885,7.004463,0.13969953,0.4439364,14.785931,0.09050638,0.3985983,1.9118235,1.601247,21.47301,0.6106877,56.00802,43.96055,12.047472,3.648944,12.312757,0.644,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P15,P24,85,NA,NA,NA,NA,NA,NA,NA,1,0.363,0.187,0.26,0.151,cyan,cyan,PP,NA,0.219,0.159,0.623,0.154,0.127,0.240353906,2.110929988,3.065618306,2.887029315,29.53140598,21.9,15.9,62.3
80,P25,pelagic,NA,b5,11.7,m,103,-26.84,11.4,3.439888,0.604,1.94886693,1,1,P,1.0707157,0.21392473,1.1209344,0.48794103,0.252025619,0.4316807,0.35222202,0.14050742,19.48774,0.3293186,0.55288,2.488647,0.428887,0.5114445,0.18179185,0.9116051,0.2370081,6.445457,0.049937898,5.075712,3.183274,0.04230662,2.065945,0.10928398,0.15910793,3.2917089,1.847176,0.13262794,0.09055062,0.198464428,7.037422,0.12583142,0.4045058,13.636254,0.09741109,0.443462,2.014937,2.089206,22.77666,0.7681267,56.09068,44.17134,11.919339,3.705855,12.478522,0.642,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P17,P25,83.16,NA,NA,NA,NA,NA,NA,NA,1,0.302,0.174,0.271,0.157,cyan,cyan,PP,NA,0.264,0.163,0.573,0.173,0.13,0.234360833,1.937677462,3.236506209,3.378502219,28.73674021,26.4,16.3,57.3
81,P26,pelagic,NA,b6,16.32,f,104,-27.38,10.86,3.282551,0.605,2.33900814,1,1,P,1.4508421,0.27813272,1.0460807,0.428224,0.221455482,0.4295465,0.38475359,0.13406,20.19698,0.3456741,0.5427335,2.359016,0.4999618,0.4623835,0.16047617,0.8677017,0.2415903,6.35201,0.045454924,4.694617,2.979146,0.05177092,2.03628,0.12187702,0.13791682,3.119282,1.5921435,0.13199889,0.09938314,0.19326824,7.088354,0.15234672,0.4113176,13.575774,0.07686999,0.38319,1.8902909,1.934254,23.97629,0.635523,56.49071,44.76141,11.729301,3.816205,11.859348,0.661,non-piscivorous,NA,NA,1,NA,3,pelagic 1,1,NA,NA,NA,P18,P26,78.75,NA,NA,NA,NA,NA,NA,NA,1,0.391,0.192,0.273,0.155,cyan,cyan,PP,NA,0.196,0.14,0.664,0.141,0.118,0.246756965,1.915222349,3.382490491,3.210477962,29.2230648,19.6,14,66.4
